Rand,category_id,category_level1,category_level2,category_level3
0.999748910760624,1000007211,SPORT,SPORT AERIEN,PARACHUTE
0.999686738024067,1000018979,SPORT,SPORT D'EAU - GLISSE D'EAU,BOITE ETANCHE - BIDON ETANCHE - SAC ETANCHE
0.9995918197328,1000011522,MATERIEL MEDICAL,CARDIOLOGIE,ELECTROCARDIOGRAPHE - HOLTER - ECG
0.999544434662374,1000003409,VIN - ALCOOL - LIQUIDES,CHAMPAGNE - PETILLANT - MOUSSEUX,PETILLANT - MOUSSEUX
0.999542453673253,1000003780,ELECTROMENAGER,TRAITEMENT DE L AIR,PURIFICATEUR D'AIR - IONISATEUR D'AIR
0.999407335335472,1000005888,AUTO - MOTO,PIECES,FUSIBLES
0.999185355430764,1000005864,AUTO - MOTO,PIECES,ENTRETOISE - MOYEU VOLANT
0.999068920713515,1000018740,JEUX - JOUETS,IMAGINATION,FARCE ET ATTRAPE
0.998814856242408,1000017864,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,RANGEMENT OUTILS - PORTE-OUTILS,BOITE IMPERMEABLE - MALLETTE ETANCHE (VIDE)
0.998679514955256,1000006534,SPORT,SPORT D'EAU - GLISSE D'EAU,PLANCHE DE SURF
0.99864078601327,1000005463,AUTO - MOTO,CONFORT CONDUCTEUR ET PASSAGER,ACCOUDOIRS
0.998491004463376,1000007118,SPORT,TEXTILE TECHNIQUE,MAILLOT - DEBARDEUR - POLO DE SPORT - TECHNIQUE
0.998472469551368,1000015391,DECO - LINGE - LUMINAIRE,COUSSIN ET HOUSSE,HOUSSE DE FAUTEUIL
0.998414956509908,1000012829,PARAPHARMACIE,TRAITEMENTS LIBRE SERVICE - SOINS PATHOLOGIES,SOIN DEFENSE IMMUNITAIRE - SOIN RENFORMCEMENT DE L'ORGANISME
0.998304157567209,1000005473,AUTO - MOTO,CONFORT CONDUCTEUR ET PASSAGER,BULLE - PARE-BRISE - SAUTE-VENT
0.997866626752178,1000016641,HYGIENE - BEAUTE - PARFUM,CORPS ET VISAGE,SOIN VERGETURES
0.997767663440191,1000007547,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,MENUISERIE - HUISSERIE - CLOTURE,PORTAIL - PORTILLON
0.997188754260141,1000015101,MATERIEL DE BUREAU,PETIT MATERIEL,PACK PETIT MATERIEL
0.996748585653349,1000006839,SPORT,PROTECTION DU SPORTIF,PROTEGE-EPAULE - EPAULIERE
0.996603395201092,1000017336,EPICERIE,CONFISERIE,REGLISSE
0.995397955121021,1000002642,MEUBLE,SIEGE - ASSISE,POUF - POIRE
